time (sec), current (uA)
47.263, 71.51
47.340, 77.42
47.463, 72.38
47.540, 73.35
47.663, 70.55
47.740, 77.28
47.863, 71.66
47.940, 76.54
48.063, 72.34
48.140, 69.78
48.263, 73.38
48.340, 77.41
48.463, 71.52
48.540, 75.97
48.663, 70.70
48.740, 77.90
48.863, 72.32
48.940, 72.64
49.063, 71.76
49.140, 75.02
49.263, 71.69
49.340, 80.13
49.463, 72.41
49.540, 77.01
49.663, 73.78
49.740, 75.52
49.863, 72.20
49.940, 74.70
50.063, 75.75
50.140, 80.80
50.263, 77.60
50.340, 78.03
50.463, 73.40
50.540, 81.06
50.663, 73.08
50.740, 76.56
50.863, 79.25
50.940, 79.72
51.063, 76.63
51.140, 73.62
51.263, 74.53
51.340, 75.35
51.463, 76.52
51.540, 79.14
51.663, 75.73
51.740, 73.89
51.863, 77.17
51.940, 73.42
52.063, 81.09
52.140, 82.24
52.263, 78.40
52.340, 80.79
52.463, 78.11
52.540, 75.23
52.663, 77.50
52.740, 76.87
52.863, 80.23
52.940, 81.14
53.063, 74.86
53.140, 78.24
53.263, 79.89
53.340, 73.41
53.463, 78.23
53.540, 75.17
53.663, 79.36
53.740, 80.41
53.863, 76.74
53.940, 79.43
54.063, 81.49
54.140, 82.84
54.263, 83.33
54.340, 73.45
54.463, 74.49
54.540, 78.34
54.663, 79.84
54.740, 76.37
54.863, 80.72
54.940, 72.81
55.063, 76.93
55.140, 79.06
55.263, 73.16
55.340, 80.38
55.463, 75.44
55.540, 78.58
55.663, 81.13
55.740, 79.27
55.863, 82.30
55.940, 77.13
56.063, 75.52
56.140, 78.98
56.263, 77.63
56.340, 75.10
56.463, 86.31
56.540, 75.78
56.663, 79.00
56.740, 79.08
56.863, 78.90
56.940, 80.19
57.063, 80.66
57.140, 82.24
57.263, 81.49
57.340, 78.55
57.463, 81.01
57.540, 75.41
57.663, 75.35
57.740, 81.15
57.863, 78.82
57.940, 77.69
58.063, 78.13
58.140, 76.45
58.263, 79.37
58.340, 79.78
58.463, 79.13
58.540, 73.12
58.663, 80.19
58.740, 80.24
58.863, 79.73
58.940, 78.79
59.063, 79.87
59.140, 77.28
59.263, 81.16
59.340, 75.35
59.463, 82.96
59.540, 74.66
59.663, 77.89
59.740, 77.79
59.863, 81.87
59.940, 79.06
60.063, 82.31
60.140, 82.58
60.263, 78.12
60.340, 77.61
60.463, 80.75
60.540, 83.24
60.663, 76.64
60.740, 84.12
60.863, 79.28
60.940, 77.72
61.063, 81.53
61.140, 76.64
61.263, 80.29
61.340, 85.31
61.463, 81.13
61.540, 79.36
61.663, 78.64
61.740, 77.24
61.863, 80.70
61.940, 78.05
62.063, 79.22
62.140, 79.94
62.263, 78.58
62.340, 77.54
62.463, 77.46
62.540, 85.64
62.663, 77.55
62.740, 80.90
62.863, 79.52
62.940, 78.29
63.063, 81.43
63.140, 82.37
63.263, 82.92
63.340, 79.84
63.463, 78.58
63.540, 84.21
63.663, 80.01
63.740, 80.33
63.863, 79.93
63.940, 74.98
64.063, 80.58
64.140, 81.23
64.263, 80.23
64.340, 87.30
64.463, 82.27
64.540, 79.71
64.663, 78.02
64.740, 82.34
64.863, 81.03
64.940, 78.70
65.063, 79.36
65.140, 85.26
65.263, 78.73
65.340, 87.71
65.463, 84.08
65.540, 80.40
65.663, 80.53
65.740, 75.72
65.863, 79.20
65.940, 80.51
66.063, 82.43
66.140, 78.00
66.263, 77.73
66.340, 85.67
66.463, 84.39
66.540, 79.51
66.663, 82.05
66.740, 78.67
66.863, 79.84
66.940, 77.20
67.063, 79.95
67.140, 77.17
67.263, 81.08
67.340, 84.20
67.463, 84.03
67.540, 76.16
67.663, 80.65
67.740, 81.12
67.863, 82.15
67.940, 86.32
68.063, 80.34
68.140, 79.21
68.263, 83.44
68.340, 83.28
68.463, 81.27
68.540, 82.48
68.663, 82.73
68.740, 78.53
68.863, 82.52
68.940, 78.09
69.063, 82.92
69.140, 82.59
69.263, 83.74
69.340, 83.03
69.463, 83.37
69.540, 85.01
69.663, 84.00
69.740, 77.88
69.863, 79.51
69.940, 76.54
70.063, 83.63
70.140, 85.21
70.263, 83.00
70.340, 78.08
70.463, 84.09
70.540, 79.40
70.663, 82.34
70.740, 80.08
70.863, 80.66
70.940, 81.17
71.063, 80.15
71.140, 80.96
71.263, 81.34
71.340, 78.48
71.463, 82.54
71.540, 83.43
71.663, 79.86
71.740, 86.52
71.863, 79.70
71.940, 79.82
72.063, 84.90
72.140, 79.22
72.263, 78.84
72.340, 82.64
72.463, 83.45
72.540, 78.36
72.663, 82.75
72.740, 75.52
72.863, 84.62
72.940, 80.87
73.063, 84.99
73.140, 88.28
73.263, 80.46
73.340, 79.01
73.463, 81.93
73.540, 79.87
73.663, 79.63
73.740, 77.81
73.863, 83.72
73.940, 80.82
74.063, 83.32
74.140, 82.53
74.263, 79.69
74.340, 79.74
74.463, 82.08
74.540, 83.35
74.663, 82.84
74.740, 81.88
74.863, 83.68
74.940, 86.91
75.063, 83.17
75.140, 86.75
75.263, 83.70
75.340, 83.37
75.463, 83.33
75.540, 78.04
75.663, 79.62
75.740, 80.61
75.863, 82.62
75.940, 90.41
76.063, 83.07
76.140, 84.07
76.263, 84.65
76.340, 83.42
76.463, 83.29
76.540, 80.62
76.663, 83.90
76.740, 83.93
76.863, 80.71
76.940, 81.06
77.063, 85.54
77.140, 87.53
77.263, 82.46
77.340, 79.09
77.463, 80.67
77.540, 81.73
77.663, 86.39
77.740, 81.84
77.863, 86.84
77.940, 86.13
78.063, 82.45
78.140, 84.02
78.263, 86.71
78.340, 81.48
78.463, 82.33
78.540, 82.78
78.663, 85.34
78.740, 87.03
78.863, 81.72
78.940, 78.67
79.063, 81.40
79.140, 83.42
79.263, 89.05
79.340, 81.22
79.463, 81.80
79.540, 80.71
79.663, 82.00
79.740, 88.45
79.863, 83.38
79.940, 81.45
80.063, 82.38
80.140, 85.80
80.263, 83.27
80.340, 81.31
80.463, 84.68
80.540, 77.40
80.663, 86.24
80.740, 84.20
80.863, 84.49
80.940, 82.57
81.063, 81.56
81.140, 80.21
81.263, 83.35
81.340, 90.37
81.463, 83.40
81.540, 81.43
81.663, 84.36
81.740, 80.23
81.863, 87.55
81.940, 84.93
82.063, 83.97
82.140, 85.91
82.263, 87.91
82.340, 91.20
82.463, 81.50
82.540, 80.10
82.663, 89.53
82.740, 83.92
82.863, 84.70
82.940, 80.13
83.063, 86.10
83.140, 88.10
83.263, 82.76
83.340, 79.88
83.463, 85.09
83.540, 86.70
83.663, 84.15
83.740, 83.74
83.863, 83.44
83.940, 94.79
84.063, 88.14
84.140, 84.02
84.263, 84.94
84.340, 94.69
84.463, 81.81
84.540, 88.99
84.663, 84.53
84.740, 88.97
84.863, 82.96
84.940, 78.86
85.063, 84.41
85.140, 85.58
85.263, 84.69
85.340, 84.19
85.463, 81.77
85.540, 79.67
85.663, 86.59
85.740, 88.55
85.863, 83.44
85.940, 79.68
86.063, 85.97
86.140, 94.93
86.263, 84.69
86.340, 82.86
86.463, 86.27
86.540, 93.26
86.663, 84.12
86.740, 85.53
86.863, 88.30
86.940, 83.32
87.063, 82.40
87.140, 86.34
87.263, 87.54
87.340, 95.87
87.463, 82.50
87.540, 82.01
87.663, 85.07
87.740, 83.44
87.863, 89.10
87.940, 87.68
88.063, 83.53
88.140, 91.34
88.263, 86.20
88.340, 88.00
88.463, 83.46
88.540, 94.22
88.663, 85.44
88.740, 85.92
88.863, 86.51
88.940, 78.52
89.063, 85.93
89.140, 88.12
89.263, 86.21
89.340, 86.01
89.463, 83.33
89.540, 84.34
89.663, 86.32
89.740, 94.86
89.863, 87.19
89.940, 84.90
90.063, 82.84
90.140, 83.08
90.263, 82.03
90.340, 91.45
90.463, 86.18
90.540, 89.97
90.663, 86.09
90.740, 88.62
90.863, 86.44
90.940, 88.15
91.063, 84.96
91.140, 90.26
91.263, 84.29
91.340, 92.23
91.463, 83.15
91.540, 86.40
91.663, 81.79
91.740, 84.42
91.863, 84.67
91.940, 91.27
92.063, 86.86
92.140, 91.34
92.263, 87.97
92.340, 84.10
92.463, 86.42
92.540, 84.87
92.663, 84.42
92.740, 83.66
92.863, 87.63
92.940, 89.10
93.063, 85.50
93.140, 83.74
93.263, 85.87
93.340, 86.82
93.463, 84.21
93.540, 84.24
93.663, 86.53
93.740, 85.96
93.863, 87.81
93.940, 90.85
94.063, 84.36
94.140, 82.01
94.263, 82.03
94.340, 78.50
94.463, 82.44
94.540, 86.69
94.663, 84.78
94.740, 91.36
94.863, 84.49
94.940, 84.25
95.063, 85.62
95.140, 92.02
95.263, 87.91
95.340, 87.62
95.463, 87.76
95.540, 92.11
95.663, 84.91
95.740, 80.79
95.863, 86.24
95.940, 89.12
96.063, 87.97
96.140, 85.32
96.263, 83.81
96.340, 84.96
96.463, 83.11
96.540, 86.88
96.663, 86.33
96.740, 84.49
96.863, 87.21
96.940, 89.12
97.063, 89.17
97.140, 84.27
97.263, 84.38
97.340, 88.71
97.463, 86.82
97.540, 81.01
97.663, 83.32
97.740, 81.24
97.863, 85.37
97.940, 85.08
98.063, 83.20
98.140, 85.04
98.263, 87.67
98.340, 88.90
98.463, 83.30
98.540, 84.84
98.663, 88.99
98.740, 83.56
98.863, 86.20
98.940, 88.27
99.063, 83.56
99.140, 87.46
99.263, 83.40
99.340, 84.33
99.463, 86.14
99.540, 89.46
99.663, 86.66
99.740, 89.16
99.863, 86.84
99.940, 87.17
100.063, 84.75
100.140, 88.06
100.263, 87.51
100.340, 86.89
100.463, 87.72
100.540, 87.57
100.663, 85.97
100.740, 84.57
100.863, 82.80
100.940, 86.91
101.063, 87.73
101.140, 93.01
101.263, 82.99
101.340, 86.73
101.463, 87.74
101.540, 80.57
101.663, 83.37
101.740, 81.68
101.863, 86.19
101.940, 85.25
102.063, 82.99
102.140, 81.39
102.263, 87.63
102.340, 84.47
102.463, 88.16
102.540, 89.60
102.663, 87.12
102.740, 84.62
102.863, 83.60
102.940, 86.30
103.063, 89.06
103.140, 89.53
103.263, 82.99
103.340, 83.11
103.463, 83.15
103.540, 84.41
103.663, 88.76
103.740, 86.03
103.863, 88.39
103.940, 92.40
104.063, 87.28
104.140, 89.29
104.263, 87.90
104.340, 89.18
104.463, 87.61
104.540, 91.58
104.663, 88.14
104.740, 84.55
104.863, 84.88
104.940, 81.61
105.063, 82.99
105.140, 89.15
105.263, 84.90
105.340, 84.03
105.463, 87.45
105.540, 85.25
105.663, 87.27
105.740, 91.55
105.863, 88.14
105.940, 86.60
106.063, 86.76
106.140, 81.04
106.263, 87.17
106.340, 78.84
106.463, 85.20
106.540, 86.59
106.663, 84.91
106.740, 93.05
106.863, 86.00
106.940, 84.82
107.063, 88.66
107.140, 87.38
107.263, 85.43
107.340, 90.54
